epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,23608.7,0.91639,1.04899,0.92954,0.74176,0.76368,0.82638,0.68244,0.70247,0.87616,0.87254,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168
31,24359.4,0.91988,1.03852,0.93421,0.74066,0.75641,0.8139,0.67595,0.6921,0.87795,0.87067,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484
32,25110.6,0.90385,1.0311,0.93123,0.74715,0.79147,0.83353,0.69377,0.6876,0.85159,0.86882,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808
33,25863.3,0.91296,1.02687,0.93299,0.76568,0.7513,0.82718,0.68151,0.71092,0.87274,0.87299,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
34,26616,0.9174,1.00463,0.93829,0.75944,0.76516,0.82385,0.68227,0.70368,0.85183,0.87037,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432
35,27374.1,0.90054,0.98777,0.93013,0.77097,0.75923,0.82819,0.68967,0.69172,0.83931,0.86838,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748
36,28128.2,0.89084,0.98777,0.92645,0.76749,0.75463,0.83561,0.69443,0.6914,0.83917,0.86693,0.00243019,0.000810064,0.00243019,0.000810064,0.00243019,0.000810064,0.00243019,0.000810064
37,28883.6,0.89788,0.97884,0.93015,0.7684,0.7607,0.82505,0.68321,0.69848,0.83569,0.86893,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
38,29632,0.89223,0.99775,0.93044,0.77407,0.7576,0.82881,0.6916,0.68567,0.82882,0.86564,0.00232409,0.000774697,0.00232409,0.000774697,0.00232409,0.000774697,0.00232409,0.000774697
39,30383.4,0.899,0.97122,0.93111,0.76721,0.74769,0.8248,0.68422,0.68739,0.83032,0.86643,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013
40,31133.2,0.90328,0.99628,0.93342,0.77961,0.74963,0.83829,0.69863,0.68555,0.82808,0.86553,0.00221799,0.000739329,0.00221799,0.000739329,0.00221799,0.000739329,0.00221799,0.000739329
41,31881,0.89814,0.9782,0.92862,0.78814,0.7595,0.84503,0.70901,0.67814,0.81822,0.86355,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
42,32624.3,0.90211,0.96049,0.9333,0.77373,0.76984,0.83938,0.69755,0.68786,0.81339,0.86481,0.00211188,0.000703961,0.00211188,0.000703961,0.00211188,0.000703961,0.00211188,0.000703961
43,33375.4,0.88527,0.97976,0.92595,0.78372,0.74611,0.83255,0.69502,0.68058,0.82524,0.86355,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277
44,34134.5,0.88423,0.95071,0.93118,0.7768,0.77549,0.84434,0.70551,0.67976,0.79793,0.86266,0.00200578,0.000668593,0.00200578,0.000668593,0.00200578,0.000668593,0.00200578,0.000668593
45,34892.9,0.88598,0.95452,0.92827,0.7736,0.76725,0.83846,0.69948,0.67842,0.81253,0.86196,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
46,35749.7,0.87723,0.93453,0.92276,0.7663,0.76511,0.83282,0.69447,0.68347,0.81365,0.86311,0.00189968,0.000633226,0.00189968,0.000633226,0.00189968,0.000633226,0.00189968,0.000633226
47,36674.5,0.88741,0.95243,0.91948,0.79855,0.75122,0.84264,0.70339,0.67876,0.7951,0.8615,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542
48,37562.5,0.88578,0.9422,0.92436,0.80393,0.74123,0.83964,0.70239,0.67311,0.78733,0.86324,0.00179357,0.000597858,0.00179357,0.000597858,0.00179357,0.000597858,0.00179357,0.000597858
49,38420.9,0.88582,0.93989,0.92277,0.78453,0.77184,0.84834,0.71154,0.67964,0.77764,0.86206,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
